#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
5803,L,,,,,,,,,,,,,,,,
5804,J,,,,,,,,,,,,,,,,
5805,G,,,,,,,,,,,,,,,,
5806,D,,,,,,,,,,,,,,,,
5807,B,,,,,,,,,,,,,,,,
5808,Z,,,,,,,,,,,,,,,,
5809,X,,,,,,,,,,,,,,,,
5810,R,,,,,,,,,,,,,,,,
5811,M,,,,,,,,,,,,,,,,
5812,K,,,,,,,,,,,,,,,,
5813,H,,,,,,,,,,,,,,,,
5814,E,,,,,,,,,,,,,,,,
5815,C,,,,,,,,,,,,,,,,
5816,A,,,,,,,,,,,,,,,,
5817,Y,,,,,,,,,,,,,,,,
5818,U,,,,,,,,,,,,,,,,
5819,S,,,,,,,,,,,,,,,,
5820,L,,,,,,,,,,,,,,,,
5821,J,,,,,,,,,,,,,,,,
5822,G,,,,,,,,,,,,,,,,
5823,D,,,,,,,,,,,,,,,,
5824,B,,,,,,,,,,,,,,,,
5825,Z,,,,,,,,,,,,,,,,
5826,X,,,,,,,,,,,,,,,,
5827,T,,,,,,,,,,,,,,,,
5828,R,,,,,,,,,,,,,,,,
5829,M,,,,,,,,,,,,,,,,
5830,H,,,,,,,,,,,,,,,,
5831,E,,,,,,,,,,,,,,,,
5832,C,,,,,,,,,,,,,,,,
5833,A,,,,,,,,,,,,,,,,
5834,Y,,,,,,,,,,,,,,,,
5835,U,,,,,,,,,,,,,,,,
5836,S,,,,,,,,,,,,,,,,
5837,P,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
5838,L,,,,,,,,,,,,,,,,
5839,J,,,,,,,,,,,,,,,,
5840,D,,,,,,,,,,,,,,,,
5841,B,,,,,,,,,,,,,,,,
5842,Z,,,,,,,,,,,,,,,,
5843,X,,,,,,,,,,,,,,,,
5844,T,,,,,,,,,,,,,,,,
5845,R,,,,,,,,,,,,,,,,
5846,M,,,,,,,,,,,,,,,,
5847,K,,,,,,,,,,,,,,,,
5848,H,,,,,,,,,,,,,,,,
5849,E,,,,,,,,,,,,,,,,
5850,A,,,,,,,,,,,,,,,,
5851,Y,,,,,,,,,,,,,,,,
5852,U,,,,,,,,,,,,,,,,
5853,S,,,,,,,,,,,,,,,,
5854,P,,,,,,,,,,,,,,,,
5855,L,,,,,,,,,,,,,,,,
5856,J,,,,,,,,,,,,,,,,
5857,G,,,,,,,,,,,,,,,,
5858,D,,,,,,,,,,,,,,,,
5859,B,,,,,,,,,,,,,,,,
5860,X,,,,,,,,,,,,,,,,
5861,T,,,,,,,,,,,,,,,,
5862,R,,,,,,,,,,,,,,,,
5863,M,,,,,,,,,,,,,,,,
5864,K,,,,,,,,,,,,,,,,
5865,H,,,,,,,,,,,,,,,,
5866,E,,,,,,,,,,,,,,,,
5867,C,,,,,,,,,,,,,,,,
5868,A,,,,,,,,,,,,,,,,
5869,Y,,,,,,,,,,,,,,,,
5870,S,,,,,,,,,,,,,,,,
5871,P,,,,,,,,,,,,,,,,
5872,L,,,,,,,,,,,,,,,,
5873,J,,,,,,,,,,,,,,,,
5874,G,,,,,,,,,,,,,,,,
5875,D,,,,,,,,,,,,,,,,
5876,B,,,,,,,,,,,,,,,,
5877,Z,,,,,,,,,,,,,,,,
5878,X,,,,,,,,,,,,,,,,
5879,T,,,,,,,,,,,,,,,,
5880,M,,,,,,,,,,,,,,,,
5881,K,,,,,,,,,,,,,,,,
5882,H,,,,,,,,,,,,,,,,
5883,E,,,,,,,,,,,,,,,,
5884,C,,,,,,,,,,,,,,,,
5885,A,,,,,,,,,,,,,,,,
5886,Y,,,,,,,,,,,,,,,,
5887,U,,,,,,,,,,,,,,,,
5888,S,,,,,,,,,,,,,,,,
5889,P,,,,,,,,,,,,,,,,
5890,J,,,,,,,,,,,,,,,,
5891,G,,,,,,,,,,,,,,,,
5892,D,,,,,,,,,,,,,,,,
5893,B,,,,,,,,,,,,,,,,
5894,Z,,,,,,,,,,,,,,,,
5895,X,,,,,,,,,,,,,,,,
5896,T,,,,,,,,,,,,,,,,
5897,R,,,,,,,,,,,,,,,,
5898,M,,,,,,,,,,,,,,,,
5899,K,,,,,,,,,,,,,,,,
5900,P,,,,,,,,,,,,,,,,
5901,L,,,,,,,,,,,,,,,,
5902,J,,,,,,,,,,,,,,,,
5903,G,,,,,,,,,,,,,,,,
5904,D,,,,,,,,,,,,,,,,
5905,B,,,,,,,,,,,,,,,,
5906,Z,,,,,,,,,,,,,,,,
5907,X,,,,,,,,,,,,,,,,
5908,T,,,,,,,,,,,,,,,,
5909,R,,,,,,,,,,,,,,,,
5910,K,,,,,,,,,,,,,,,,
5911,H,,,,,,,,,,,,,,,,
5912,E,,,,,,,,,,,,,,,,
5913,C,,,,,,,,,,,,,,,,
5914,A,,,,,,,,,,,,,,,,
5915,Y,,,,,,,,,,,,,,,,
5916,U,,,,,,,,,,,,,,,,
5917,S,,,,,,,,,,,,,,,,
5918,P,,,,,,,,,,,,,,,,
5919,L,,,,,,,,,,,,,,,,
5920,G,,,,,,,,,,,,,,,,
5921,D,,,,,,,,,,,,,,,,
5922,B,,,,,,,,,,,,,,,,
5923,Z,,,,,,,,,,,,,,,,
5924,X,,,,,,,,,,,,,,,,
5925,T,,,,,,,,,,,,,,,,
5926,R,,,,,,,,,,,,,,,,
5927,M,,,,,,,,,,,,,,,,
5928,K,,,,,,,,,,,,,,,,
5929,H,,,,,,,,,,,,,,,,
5930,C,,,,,,,,,,,,,,,,
5931,A,,,,,,,,,,,,,,,,
5932,Y,,,,,,,,,,,,,,,,
5933,U,,,,,,,,,,,,,,,,
5934,S,,,,,,,,,,,,,,,,
5935,P,,,,,,,,,,,,,,,,
5936,L,,,,,,,,,,,,,,,,
5937,J,,,,,,,,,,,,,,,,
5938,G,,,,,,,,,,,,,,,,
5939,D,,,,,,,,,,,,,,,,
5940,Z,,,,,,,,,,,,,,,,
5941,X,,,,,,,,,,,,,,,,
5942,T,,,,,,,,,,,,,,,,
5943,R,,,,,,,,,,,,,,,,
5944,M,,,,,,,,,,,,,,,,
5945,K,,,,,,,,,,,,,,,,
5946,H,,,,,,,,,,,,,,,,
5947,E,,,,,,,,,,,,,,,,
5948,C,,,,,,,,,,,,,,,,
5949,A,,,,,,,,,,,,,,,,
5950,U,,,,,,,,,,,,,,,,
5951,S,,,,,,,,,,,,,,,,
5952,P,,,,,,,,,,,,,,,,
5953,L,,,,,,,,,,,,,,,,
5954,J,,,,,,,,,,,,,,,,
5955,G,,,,,,,,,,,,,,,,
5956,D,,,,,,,,,,,,,,,,
5957,B,,,,,,,,,,,,,,,,
5958,Z,,,,,,,,,,,,,,,,
5959,X,,,,,,,,,,,,,,,,
5960,R,Isuzu,LT434P,,,,,,,,,,,,,,
5961,M,,,,,,,,,,,,,,,,
5962,K,,,,,,,,,,,,,,,,
5963,H,,,,,,,,,,,,,,,,
5964,E,,,,,,,,,,,,,,,,
5965,C,,,,,,,,,,,,,,,,
5966,A,,,,,,,,,,,,,,,,
5967,Y,,,,,,,,,,,,,,,,
5968,U,,,,,,,,,,,,,,,,
5969,S,,,,,,,,,,,,,,,,
5970,L,,,,,,,,,,,,,,,,
5971,J,,,,,,,,,,,,,,,,
5972,G,,,,,,,,,,,,,,,,
5973,D,,,,,,,,,,,,,,,,
5974,B,,,,,,,,,,,,,,,,
5975,Z,,,,,,,,,,,,,,,,
5976,X,,,,,,,,,,,,,,,,
5977,T,,,,,,,,,,,,,,,,
5978,R,,,,,,,,,,,,,,,,
5979,M,,,,,,,,,,,,,,,,
5980,H,,,,,,,,,,,,,,,,
5981,E,,,,,,,,,,,,,,,,
5982,C,Yutong,ZK6126HGC,,ADVAN,,,,,,,,,,,,
5983,A,,,,,,,,,,,,,,,,
5984,Y,,,,,,,,,,,,,,,,
5985,U,,,,,,,,,,,,,,,,
5986,S,,,,,,,,,,,,,,,,
5987,P,,,,,,,,,,,,,,,,
5988,L,,,,,,,,,,,,,,,,
5989,J,,,,,,,,,,,,,,,,
5990,D,,,,,,,,,,,,,,,,
5991,B,,,,,,,,,,,,,,,,
5992,Z,,,,,,,,,,,,,,,,
5993,X,,,,,,,,,,,,,,,,
5994,T,,,,,,,,,,,,,,,,
5995,R,,,,,,,,,,,,,,,,
5996,M,,,,,,,,,,,,,,,,
5997,K,,,,,,,,,,,,,,,,
5998,H,,,,,,,,,,,,,,,,
5999,E,,,,,,,,,,,,,,,,
6000,E,,,,,,,,,,,,,,,,
6001,C,,,,,,,,,,,,,,,,
6002,A,,,,,,,,,,,,,,,,
6003,Y,,,,,,,,,,,,,,,,
6004,U,,,,,,,,,,,,,,,,
6005,S,,,,,,,,,,,,,,,,
6006,P,,,,,,,,,,,,,,,,
6007,L,,,,,,,,,,,,,,,,
6008,J,,,,,,,,,,,,,,,,
6009,G,,,,,,,,,,,,,,,,
6010,B,,,,,,,,,,,,,,,,
6011,Z,,,,,,,,,,,,,,,,
6012,X,,,,,,,,,,,,,,,,
6013,T,,,,,,,,,,,,,,,,
6014,R,,,,,,,,,,,,,,,,
6015,M,,,,,,,,,,,,,,,,
6016,K,,,,,,,,,,,,,,,,
6017,H,,,,,,,,,,,,,,,,
6018,E,,,,,,,,,,,,,,,,
6019,C,,,,,,,,,,,,,,,,
6020,Y,,,,,,,,,,,,,,,,
6021,U,,,,,,,,,,,,,,,,
6022,S,,,,,,,,,,,,,,,,
6023,P,,,,,,,,,,,,,,,,
6024,L,,,,,,,,,,,,,,,,
6025,J,,,,,,,,,,,,,,,,
6026,G,,,,,,,,,,,,,,,,
6027,D,,,,,,,,,,,,,,,,
6028,B,,,,,,,,,,,,,,,,
6029,Z,,,,,,,,,,,,,,,,
6030,T,,,,,,,,,,,,,,,,
6031,R,,,,,,,,,,,,,,,,
6032,M,,,,,,,,,,,,,,,,
6033,K,,,,,,,,,,,,,,,,
6034,H,,,,,,,,,,,,,,,,
6035,E,,,,,,,,,,,,,,,,
6036,C,,,,,,,,,,,,,,,,
6037,A,,,,,,,,,,,,,,,,
6038,Y,,,,,,,,,,,,,,,,
6039,U,,,,,,,,,,,,,,,,
6040,P,,,,,,,,,,,,,,,,
6041,L,,,,,,,,,,,,,,,,
6042,J,,,,,,,,,,,,,,,,
6043,G,,,,,,,,,,,,,,,,
6044,D,,,,,,,,,,,,,,,,
6045,B,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
6046,Z,,,,,,,,,,,,,,,,
6047,X,,,,,,,,,,,,,,,,
6048,T,,,,,,,,,,,,,,,,
6049,R,,,,,,,,,,,,,,,,
6050,K,,,,,,,,,,,,,,,,
6051,H,,,,,,,,,,,,,,,,
6052,E,,,,,,,,,,,,,,,,
6053,C,,,,,,,,,,,,,,,,
6054,A,,,,,,,,,,,,,,,,
6055,Y,,,,,,,,,,,,,,,,
6056,U,,,,,,,,,,,,,,,,
6057,S,,,,,,,,,,,,,,,,
6058,P,,,,,,,,,,,,,,,,
6059,L,,,,,,,,,,,,,,,,
6060,G,,,,,,,,,,,,,,,,
6061,D,,,,,,,,,,,,,,,,
6062,B,,,,,,,,,,,,,,,,
6063,Z,,,,,,,,,,,,,,,,
6064,X,,,,,,,,,,,,,,,,
6065,T,,,,,,,,,,,,,,,,
6066,R,,,,,,,,,,,,,,,,
6067,M,,,,,,,,,,,,,,,,
6068,K,,,,,,,,,,,,,,,,
6069,H,,,,,,,,,,,,,,,,
6070,C,,,,,,,,,,,,,,,,
6071,A,,,,,,,,,,,,,,,,
6072,Y,,,,,,,,,,,,,,,,
6073,U,,,,,,,,,,,,,,,,
6074,S,,,,,,,,,,,,,,,,
6075,P,,,,,,,,,,,,,,,,
6076,L,,,,,,,,,,,,,,,,
6077,J,,,,,,,,,,,,,,,,
6078,G,,,,,,,,,,,,,,,,
6079,D,,,,,,,,,,,,,,,,
6080,Z,,,,,,,,,,,,,,,,
6081,X,,,,,,,,,,,,,,,,
6082,T,,,,,,,,,,,,,,,,
6083,R,YUTONG,ZK6126HGA,Integral,,,,,,,,,,,,,
6084,M,,,,,,,,,,,,,,,,
6085,K,,,,,,,,,,,,,,,,
6086,H,,,,,,,,,,,,,,,,
6087,E,YUTONG,ZK6938H,Integral,,,,,,,,,,,,,
6088,C,,,,,,,,,,,,,,,,
6089,A,,,,,,,,,,,,,,,,
6090,U,,,,,,,,,,,,,,,,
6091,S,,,,,,,,,,,,,,,,
6092,P,,,,,,,,,,,,,,,,
6093,L,,,,,,,,,,,,,,,,
6094,J,,,,,,,,,,,,,,,,
6095,G,,,,,,,,,,,,,,,,
6096,D,,,,,,,,,,,,,,,,
6097,B,,,,,,,,,,,,,,,,
6098,Z,,,,,,,,,,,,,,,,
6099,X,,,,,,,,,,,,,,,,
6100,A,,,,,,,,,,,,,,,,
6101,Y,,,,,,,,,,,,,,,,
6102,U,,,,,,,,,,,,,,,,
6103,S,,,,,,,,,,,,,,,,
6104,P,,,,,,,,,,,,,,,,
6105,L,,,,,,,,,,,,,,,,
6106,J,,,,,,,,,,,,,,,,
6107,G,,,,,,,,,,,,,,,,
6108,D,,,,,,,,,,,,,,,,
6109,B,,,,,,,,,,,,,,,,
6110,X,,,,,,,,,,,,,,,,
6111,T,,,,,,,,,,,,,,,,
6112,R,,,,,,,,,,,,,,,,
6113,M,,,,,,,,,,,,,,,,
6114,K,,,,,,,,,,,,,,,,
6115,H,,,,,,,,,,,,,,,,
6116,E,,,,,,,,,,,,,,,,
6117,C,,,,,,,,,,,,,,,,
6118,A,,,,,,,,,,,,,,,,
6119,Y,,,,,,,,,,,,,,,,
6120,S,,,,,,,,,,,,,,,,
6121,P,,,,,,,,,,,,,,,,
6122,L,,,,,,,,,,,,,,,,
6123,J,,,,,,,,,,,,,,,,
6124,G,,,,,,,,,,,,,,,,
6125,D,,,,,,,,,,,,,,,,
6126,B,,,,,,,,,,,,,,,,
6127,Z,,,,,,,,,,,,,,,,
6128,X,,,,,,,,,,,,,,,,
6129,T,,,,,,,,,,,,,,,,
6130,M,,,,,,,,,,,,,,,,
6131,K,,,,,,,,,,,,,,,,
6132,H,,,,,,,,,,,,,,,,
6133,E,,,,,,,,,,,,,,,,
6134,C,,,,,,,,,,,,,,,,
6135,A,,,,,,,,,,,,,,,,
6136,Y,,,,,,,,,,,,,,,,
6137,U,,,,,,,,,,,,,,,,
6138,S,,,,,,,,,,,,,,,,
6139,P,,,,,,,,,,,,,,,,
6140,J,,,,,,,,,,,,,,,,
6141,G,,,,,,,,,,,,,,,,
6142,D,,,,,,,,,,,,,,,,
6143,B,,,,,,,,,,,,,,,,
6144,Z,,,,,,,,,,,,,,,,
6145,X,,,,,,,,,,,,,,,,
6146,T,,,,,,,,,,,,,,,,
6147,R,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
6148,M,,,,,,,,,,,,,,,,
6149,K,,,,,,,,,,,,,,,,
6150,E,,,,,,,,,,,,,,,,
6151,C,,,,,,,,,,,,,,,,
6152,A,,,,,,,,,,,,,,,,
6153,Y,,,,,,,,,,,,,,,,
6154,U,YUTONG,ZK6107HE,Integral,,,,,,,,,,,,,
6155,S,,,,,,,,,,,,,,,,
6156,P,,,,,,,,,,,,,,,,
6157,L,,,,,,,,,,,,,,,,
6158,J,,,,,,,,,,,,,,,,
6159,G,,,,,,,,,,,,,,,,
6160,B,,,,,,,,,,,,,,,,
6161,Z,,,,,,,,,,,,,,,,
6162,X,,,,,,,,,,,,,,,,
6163,T,,,,,,,,,,,,,,,,
6164,R,,,,,,,,,,,,,,,,
6165,M,,,,,,,,,,,,,,,,
6166,K,,,,,,,,,,,,,,,,
6167,H,,,,,,,,,,,,,,,,
6168,E,,,,,,,,,,,,,,,,
6169,C,,,,,,,,,,,,,,,,
6170,Y,,,,,,,,,,,,,,,,
6171,U,,,,,,,,,,,,,,,,
6172,S,,,,,,,,,,,,,,,,
6173,P,,,,,,,,,,,,,,,,
6174,L,,,,,,,,,,,,,,,,
6175,J,,,,,,,,,,,,,,,,
6176,G,,,,,,,,,,,,,,,,
6177,D,,,,,,,,,,,,,,,,
6178,B,,,,,,,,,,,,,,,,
6179,Z,,,,,,,,,,,,,,,,
6180,T,,,,,,,,,,,,,,,,
6181,R,,,,,,,,,,,,,,,,
6182,M,,,,,,,,,,,,,,,,
6183,K,,,,,,,,,,,,,,,,
6184,H,,,,,,,,,,,,,,,,
6185,E,,,,,,,,,,,,,,,,
6186,C,,,,,,,,,,,,,,,,
6187,A,,,,,,,,,,,,,,,,
6188,Y,,,,,,,,,,,,,,,,
6189,U,,,,,,,,,,,,,,,,
6190,P,,,,,,,,,,,,,,,,
6191,L,,,,,,,,,,,,,,,,
6192,J,,,,,,,,,,,,,,,,
6193,G,,,,,,,,,,,,,,,,
6194,D,,,,,,,,,,,,,,,,
6195,B,,,,,,,,,,,,,,,,
6196,Z,,,,,,,,,,,,,,,,
6197,X,,,,,,,,,,,,,,,,
6198,T,,,,,,,,,,,,,,,,
6199,R,,,,,,,,,,,,,,,,
6200,U,,,,,,,,,,,,,,,,
6201,S,,,,,,,,,,,,,,,,
6202,P,,,,,,,,,,,,,,,,
6203,L,,,,,,,,,,,,,,,,
6204,J,,,,,,,,,,,,,,,,
6205,G,,,,,,,,,,,,,,,,
6206,D,,,,,,,,,,,,,,,,
6207,B,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
6208,Z,,,,,,,,,,,,,,,,
6209,X,,,,,,,,,,,,,,,,
6210,R,,,,,,,,,,,,,,,,
6211,M,,,,,,,,,,,,,,,,
6212,K,,,,,,,,,,,,,,,,
6213,H,,,,,,,,,,,,,,,,
6214,E,,,,,,,,,,,,,,,,
6215,C,,,,,,,,,,,,,,,,
6216,A,,,,,,,,,,,,,,,,
6217,Y,,,,,,,,,,,,,,,,
6218,U,,,,,,,,,,,,,,,,
6219,S,,,,,,,,,,,,,,,,
6220,L,,,,,,,,,,,,,,,,
6221,J,,,,,,,,,,,,,,,,
6222,G,,,,,,,,,,,,,,,,
6223,D,,,,,,,,,,,,,,,,
6224,B,,,,,,,,,,,,,,,,
6225,Z,,,,,,,,,,,,,,,,
6226,X,,,,,,,,,,,,,,,,
6227,T,,,,,,,,,,,,,,,,
6228,R,,,,,,,,,,,,,,,,
6229,M,,,,,,,,,,,,,,,,
6230,H,,,,,,,,,,,,,,,,
6231,E,,,,,,,,,,,,,,,,
6232,C,,,,,,,,,,,,,,,,
6233,A,,,,,,,,,,,,,,,,
6234,Y,,,,,,,,,,,,,,,,
6235,U,,,,,,,,,,,,,,,,
6236,S,,,,,,,,,,,,,,,,
6237,P,,,,,,,,,,,,,,,,
6238,L,,,,,,,,,,,,,,,,
6239,J,,,,,,,,,,,,,,,,
6240,D,,,,,,,,,,,,,,,,
6241,B,,,,,,,,,,,,,,,,
6242,Z,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
6243,X,,,,,,,,,,,,,,,,
6244,T,,,,,,,,,,,,,,,,
6245,R,,,,,,,,,,,,,,,,
6246,M,,,,,,,,,,,,,,,,
6247,K,,,,,,,,,,,,,,,,
6248,H,,,,,,,,,,,,,,,,
6249,E,,,,,,,,,,,,,,,,
6250,A,,,,,,,,,,,,,,,,
6251,Y,,,,,,,,,,,,,,,,
6252,U,,,,,,,,,,,,,,,,
6253,S,,,,,,,,,,,,,,,,
6254,P,,,,,,,,,,,,,,,,
6255,L,,,,,,,,,,,,,,,,
6256,J,,,,,,,,,,,,,,,,
6257,G,,,,,,,,,,,,,,,,
6258,D,,,,,,,,,,,,,,,,
6259,B,,,,,,,,,,,,,,,,
6260,X,,,,,,,,,,,,,,,,
6261,T,,,,,,,,,,,,,,,,
6262,R,,,,,,,,,,,,,,,,
6263,M,,,,,,,,,,,,,,,,
6264,K,,,,,,,,,,,,,,,,
6265,H,,,,,,,,,,,,,,,,
6266,E,,,,,,,,,,,,,,,,
6267,C,,,,,,,,,,,,,,,,
6268,A,,,,,,,,,,,,,,,,
6269,Y,,,,,,,,,,,,,,,,
6270,S,,,,,,,,,,,,,,,,
6271,P,,,,,,,,,,,,,,,,
6272,L,,,,,,,,,,,,,,,,
6273,J,,,,,,,,,,,,,,,,
6274,G,,,,,,,,,,,,,,,,
6275,D,,,,,,,,,,,,,,,,
6276,B,,,,,,,,,,,,,,,,
6277,Z,,,,,,,,,,,,,,,,
6278,X,,,,,,,,,,,,,,,,
6279,T,,,,,,,,,,,,,,,,
6280,M,,,,,,,,,,,,,,,,
6281,K,,,,,,,,,,,,,,,,
6282,H,,,,,,,,,,,,,,,,
6283,E,,,,,,,,,,,,,,,,
6284,C,,,,,,,,,,,,,,,,
6285,A,,,,,,,,,,,,,,,,
6286,Y,,,,,,,,,,,,,,,,
6287,U,,,,,,,,,,,,,,,,
6288,S,,,,,,,,,,,,,,,,
6289,P,,,,,,,,,,,,,,,,
6290,J,,,,,,,,,,,,,,,,
6291,G,,,,,,,,,,,,,,,,
6292,D,,,,,,,,,,,,,,,,
6293,B,,,,,,,,,,,,,,,,
6294,Z,,,,,,,,,,,,,,,,
6295,X,,,,,,,,,,,,,,,,
6296,T,,,,,,,,,,,,,,,,
6297,R,,,,,,,,,,,,,,,,
6298,M,,,,,,,,,,,,,,,,
6299,K,,,,,,,,,,,,,,,,
6300,P,,,,,,,,,,,,,,,,
6301,L,,,,,,,,,,,,,,,,
6302,J,,,,,,,,,,,,,,,,
6303,G,,,,,,,,,,,,,,,,
6304,D,,,,,,,,,,,,,,,,
6305,B,,,,,,,,,,,,,,,,
6306,Z,,,,,,,,,,,,,,,,
6307,X,,,,,,,,,,,,,,,,
6308,T,,,,,,,,,,,,,,,,
6309,R,,,,,,,,,,,,,,,,
6310,K,,,,,,,,,,,,,,,,
6311,H,,,,,,,,,,,,,,,,
6312,E,,,,,,,,,,,,,,,,
6313,C,,,,,,,,,,,,,,,,
6314,A,,,,,,,,,,,,,,,,
6315,Y,,,,,,,,,,,,,,,,
6316,U,,,,,,,,,,,,,,,,
6317,S,,,,,,,,,,,,,,,,
6318,P,,,,,,,,,,,,,,,,
6319,L,,,,,,,,,,,,,,,,
6320,G,,,,,,,,,,,,,,,,
6321,D,,,,,,,,,,,,,,,,
6322,B,,,,,,,,,,,,,,,,
6323,Z,,,,,,,,,,,,,,,,
6324,X,,,,,,,,,,,,,,,,
6325,T,,,,,,,,,,,,,,,,
6326,R,,,,,,,,,,,,,,,,
6327,M,,,,,,,,,,,,,,,,
6328,K,,,,,,,,,,,,,,,,
6329,H,,,,,,,,,,,,,,,,
6330,C,,,,,,,,,,,,,,,,
6331,A,,,,,,,,,,,,,,,,
6332,Y,,,,,,,,,,,,,,,,
6333,U,,,,,,,,,,,,,,,,
6334,S,,,,,,,,,,,,,,,,
6335,P,,,,,,,,,,,,,,,,
6336,L,,,,,,,,,,,,,,,,
6337,J,,,,,,,,,,,,,,,,
6338,G,,,,,,,,,,,,,,,,
6339,D,,,,,,,,,,,,,,,,
6340,Z,,,,,,,,,,,,,,,,
6341,X,,,,,,,,,,,,,,,,
6342,T,,,,,,,,,,,,,,,,
6343,R,,,,,,,,,,,,,,,,
6344,M,,,,,,,,,,,,,,,,
6345,K,,,,,,,,,,,,,,,,
6346,H,Mitsubishi,BE641JRMDEB,Mitsubishi,Strides Transportation,,,,AMDEP,Unknown,1,Mitsubishi Fuso Duonic 6-speed OD AMT,Mobitec MobiLED Compact,Mitsubishi,Mitsubishi,Mitsubishi,
6347,E,,,,,,,,,,,,,,,,
6348,C,,,,,,,,,,,,,,,,
6349,A,,,,,,,,,,,,,,,,
6350,U,,,,,,,,,,,,,,,,
6351,S,,,,,,,,,,,,,,,,
6352,P,,,,,,,,,,,,,,,,
6353,L,,,,,,,,,,,,,,,,
6354,J,,,,,,,,,,,,,,,,
6355,G,,,,,,,,,,,,,,,,
6356,D,,,,,,,,,,,,,,,,
6357,B,,,,,,,,,,,,,,,,
6358,Z,,,,,,,,,,,,,,,,
6359,X,,,,,,,,,,,,,,,,
6360,R,,,,,,,,,,,,,,,,
6361,M,,,,,,,,,,,,,,,,
6362,K,,,,,,,,,,,,,,,,
6363,H,,,,,,,,,,,,,,,,
6364,E,,,,,,,,,,,,,,,,
6365,C,,,,,,,,,,,,,,,,
6366,A,,,,,,,,,,,,,,,,
6367,Y,,,,,,,,,,,,,,,,
6368,U,,,,,,,,,,,,,,,,
6369,S,,,,,,,,,,,,,,,,
6370,L,,,,,,,,,,,,,,,,
6371,J,,,,,,,,,,,,,,,,
6372,G,,,,,,,,,,,,,,,,
6373,D,,,,,,,,,,,,,,,,
6374,B,,,,,,,,,,,,,,,,
6375,Z,,,,,,,,,,,,,,,,
6376,X,,,,,,,,,,,,,,,,
6377,T,,,,,,,,,,,,,,,,
6378,R,,,,,,,,,,,,,,,,
6379,M,,,,,,,,,,,,,,,,
6380,H,,,,,,,,,,,,,,,,
6381,E,,,,,,,,,,,,,,,,
6382,C,,,,,,,,,,,,,,,,
6383,A,,,,,,,,,,,,,,,,
6384,Y,,,,,,,,,,,,,,,,
6385,U,,,,,,,,,,,,,,,,
6386,S,,,,,,,,,,,,,,,,
6387,P,,,,,,,,,,,,,,,,
6388,L,,,,,,,,,,,,,,,,
6389,J,,,,,,,,,,,,,,,,
6390,D,,,,,,,,,,,,,,,,
6391,B,,,,,,,,,,,,,,,,
6392,Z,,,,,,,,,,,,,,,,
6393,X,,,,,,,,,,,,,,,,
6394,T,,,,,,,,,,,,,,,,
6395,R,,,,,,,,,,,,,,,,
6396,M,,,,,,,,,,,,,,,,
6397,K,,,,,,,,,,,,,,,,
6398,H,,,,,,,,,,,,,,,,
6399,E,,,,,,,,,,,,,,,,
6400,J,,,,,,,,,,,,,,,,
6401,G,,,,,,,,,,,,,,,,
6402,D,,,,,,,,,,,,,,,,
6403,B,,,,,,,,,,,,,,,,
6404,Z,,,,,,,,,,,,,,,,
6405,X,,,,,,,,,,,,,,,,
6406,T,,,,,,,,,,,,,,,,
6407,R,,,,,,,,,,,,,,,,
6408,M,,,,,,,,,,,,,,,,
6409,K,,,,,,,,,,,,,,,,
6410,E,,,,,,,,,,,,,,,,
6411,C,,,,,,,,,,,,,,,,
6412,A,,,,,,,,,,,,,,,,
6413,Y,,,,,,,,,,,,,,,,
6414,U,,,,,,,,,,,,,,,,
6415,S,,,,,,,,,,,,,,,,
6416,P,,,,,,,,,,,,,,,,
6417,L,,,,,,,,,,,,,,,,
6418,J,,,,,,,,,,,,,,,,
6419,G,,,,,,,,,,,,,,,,
6420,B,,,,,,,,,,,,,,,,
6421,Z,,,,,,,,,,,,,,,,
6422,X,,,,,,,,,,,,,,,,
6423,T,,,,,,,,,,,,,,,,
6424,R,,,,,,,,,,,,,,,,
6425,M,,,,,,,,,,,,,,,,
6426,K,,,,,,,,,,,,,,,,
6427,H,,,,,,,,,,,,,,,,
6428,E,,,,,,,,,,,,,,,,
6429,C,,,,,,,,,,,,,,,,
6430,Y,,,,,,,,,,,,,,,,
